run_name,condition,path,step,candidate_index,picked,score_total,readable_ontology_frontier,frontier_quality,ontology_collapse_density,identity_melt_score,affordance_corruption_score,category_bleeding_score,syntax_readability_proxy,graph_integration,graph_fragmentation,repair_pressure,cliche_attractor_score,cliche_attractor_density_per_100,cliche_attractor_hits,stock_prop_attractor_score,stock_prop_attractor_density_per_100,stock_prop_attractor_hits,soft_style_cliche_score,soft_style_cliche_density_per_100,soft_style_cliche_hits,fantasy_prop_score,fantasy_prop_hits,ordinary_anchor_retention,ordinary_anchor_drop,ordinary_anchor_terms,ordinary_anchor_hits,atmospheric_conservation,unfinished,meta_leak,identity_melt_count,affordance_corruption_count,text
selector_alpha_0_c8_tok100_seed01_the_receipt_on_the_counter.json,selector_alpha_0,experiments/frontier_sweep_mundane_matched_alpha0_smoke/selector_alpha_0_c8_tok100_seed01_the_receipt_on_the_counter.json,1,1,1,0.1023842408339164,0.023697376289217337,0.43294444444444447,0.06394319446848298,0.0,0.0,0.3197159723424149,0.7215740740740741,0.19999999999999998,0.810477011494253,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.6666666666666666,0.33333333333333337,the; receipt; counter,the; receipt,0.2,0.0,0.0,0,0,"A dusty, faded Polaroid of a woman in a crowded street, her eyes locked onto the receipt, her fingers tracing the scribbled numbers."
selector_alpha_0_c8_tok100_seed01_the_receipt_on_the_counter.json,selector_alpha_0,experiments/frontier_sweep_mundane_matched_alpha0_smoke/selector_alpha_0_c8_tok100_seed01_the_receipt_on_the_counter.json,1,2,0,-1.6923662309823593,0.01446074080871423,0.3882657138377926,0.044444444444444446,0.0,0.0,0.2222222222222222,0.7325768185618728,0.05999999999999997,0.9730000000000001,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.6666666666666666,0.33333333333333337,the; receipt; counter,the; receipt,0.1,0.0,0.0,0,0,"The worn wooden spoon sat alongside the receipt, a small, unassuming presence that seemed out of place amidst the scattered remnants of a once-grand meal."
selector_alpha_0_c8_tok100_seed01_the_receipt_on_the_counter.json,selector_alpha_0,experiments/frontier_sweep_mundane_matched_alpha0_smoke/selector_alpha_0_c8_tok100_seed01_the_receipt_on_the_counter.json,1,3,0,-2.2569725765306123,0.010981307996740363,0.39312558460884356,0.03333333333333333,0.0,0.0,0.16666666666666666,0.7417463860544218,0.05999999999999997,0.9730000000000001,0.0,0.6666666666666666,11.11111111111111,antique; music box,0.6666666666666666,11.11111111111111,antique; music box,0.0,0.0,,1.0,antique; music box,0.0,1.0,the; receipt; counter,,0.1,0.0,0.0,0,0,"A small, antique music box, its intricately carved wooden lid slightly ajar, sits next to a half-eaten box of donuts."
selector_alpha_0_c8_tok100_seed01_the_receipt_on_the_counter.json,selector_alpha_0,experiments/frontier_sweep_mundane_matched_alpha0_smoke/selector_alpha_0_c8_tok100_seed01_the_receipt_on_the_counter.json,1,4,0,-1.7570419254658387,0.015505187025534854,0.4254472049689441,0.044444444444444446,0.0,0.0,0.2222222222222222,0.7090786749482402,0.19999999999999998,0.9012916666666668,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,the; receipt; counter,the; receipt; counter,0.0,0.0,0.0,0,0,"The crumpled remains of a once-white apron lay beside the counter, its pockets still clutching a pen that now rested on the receipt, its ink bleeding onto the torn edge."
selector_alpha_0_c8_tok100_seed01_the_receipt_on_the_counter.json,selector_alpha_0,experiments/frontier_sweep_mundane_matched_alpha0_smoke/selector_alpha_0_c8_tok100_seed01_the_receipt_on_the_counter.json,1,5,0,-1.7273612667436686,0.005790960679764702,0.3895265031231863,0.016666666666666666,0.0,0.0,0.08333333333333333,0.7349556662701628,0.05999999999999997,0.9730000000000001,0.0,1.0,7.894736842105263,antique; delicate; music box,0.6666666666666666,5.2631578947368425,antique; music box,0.3333333333333333,2.6315789473684212,delicate,1.0,antique; ballerina; music box,0.0,1.0,the; receipt; counter,,0.4,0.0,0.0,0,0,"A small, antique music box, its delicate ballerina still twirling to a tune long silenced, sat alongside a vintage typewriter, its keys yellowed with age, both objects now nestled in a worn, wooden box with a faded label that read ""Property of Mrs. Jenkins""."
selector_alpha_0_c8_tok100_seed01_the_receipt_on_the_counter.json,selector_alpha_0,experiments/frontier_sweep_mundane_matched_alpha0_smoke/selector_alpha_0_c8_tok100_seed01_the_receipt_on_the_counter.json,1,6,0,-0.594831345125463,0.0,0.44061398601398605,0.0,0.0,0.0,0.0,0.7343566433566434,0.19999999999999998,0.9100000000000001,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.6666666666666666,0.33333333333333337,the; receipt; counter,the; receipt,0.3,0.0,0.0,0,0,"A faded Polaroid photograph of a couple smiling on the beach, its corners creased and worn, slipped into a cracked frame that rested on the edge of the receipt."
selector_alpha_0_c8_tok100_seed01_the_receipt_on_the_counter.json,selector_alpha_0,experiments/frontier_sweep_mundane_matched_alpha0_smoke/selector_alpha_0_c8_tok100_seed01_the_receipt_on_the_counter.json,1,7,0,-0.6572592560123902,0.0,0.4254220566318927,0.0,0.0,0.0,0.0,0.7090367610531545,0.19999999999999998,0.9100000000000001,0.0,0.3333333333333333,4.545454545454546,antique,0.3333333333333333,4.545454545454546,antique,0.0,0.0,,0.375,antique,0.6666666666666666,0.33333333333333337,the; receipt; counter,the; receipt,0.2,0.0,0.0,0,0,"The antique clock, its intricate carvings now smudged and worn, sat perched on top of the receipt, an odd cohabitant of the diner's Formica table."
selector_alpha_0_c8_tok100_seed01_the_receipt_on_the_counter.json,selector_alpha_0,experiments/frontier_sweep_mundane_matched_alpha0_smoke/selector_alpha_0_c8_tok100_seed01_the_receipt_on_the_counter.json,1,8,0,0.6025606284859435,0.0,0.38391165103722646,0.0,0.0,0.0,0.0,0.6398527517287108,0.19999999999999998,0.9100000000000001,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.6666666666666666,0.33333333333333337,the; receipt; counter,the; receipt,0.1,0.0,0.0,0,0,"The faded Polaroid of two children's faces, their eyes wide with excitement, clung to the edge of the receipt, as if trying to hold on to the memories it captured. The receipt itself was crumpled, its ink bleeding into the countertop, a tiny puddle of indigo ink spreading like a stain, obscuring the scribbled notes on the edge."
selector_alpha_0_c8_tok100_seed01_the_receipt_on_the_counter.json,selector_alpha_0,experiments/frontier_sweep_mundane_matched_alpha0_smoke/selector_alpha_0_c8_tok100_seed01_the_receipt_on_the_counter.json,2,1,1,0.3464534131983108,0.1165052999718237,0.40115471869328495,0.35417664928581194,0.0,1.0,0.5208832464290597,0.6685911978221416,0.19999999999999998,0.9100000000000001,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,the; receipt; counter; polaroid; woman; crowded; street; her; eyes; locked; fingers; tracing,the; receipt; counter; polaroid; her; eyes; fingers,0.0,0.0,0.0,0,1,"The receipt slips from her fingers and falls to the counter, the Polaroid shattering into a hundred pieces as she reaches to catch it, her eyes widening in a mix of surprise and desperation, the scribbled numbers now scattered across the counter like fragments of a broken promise."
selector_alpha_0_c8_tok100_seed01_the_receipt_on_the_counter.json,selector_alpha_0,experiments/frontier_sweep_mundane_matched_alpha0_smoke/selector_alpha_0_c8_tok100_seed01_the_receipt_on_the_counter.json,2,2,0,-0.12931382269493863,0.04936819374952729,0.19667045548654247,0.30612180248299403,0.0,1.0,0.2806090124149701,0.6555681849551416,0.19999999999999998,0.9100000000000001,0.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,the; receipt; counter; polaroid; woman; crowded; street; her; eyes; locked; fingers; tracing,the; counter; polaroid; woman; her; eyes,0.0,0.0,0.0,0,1,"The Polaroid was slowly peeled away, revealing a handwritten note scrawled on the counter, a message that had been concealed for years, the pencil marks a deep shade of crimson against the worn Formica. The woman's eyes never left the counter, her gaze fixed on the words as if willing them to make sense."
