id,kind,run_name,condition,path,step,candidate_index,picked,readable_ontology_frontier,frontier_quality,ontology_collapse_density,identity_melt_score,affordance_corruption_score,category_bleeding_score,syntax_readability_proxy,graph_integration,repair_pressure,cliche_attractor_score,stock_prop_attractor_score,soft_style_cliche_score,fantasy_prop_score,ordinary_anchor_retention,ordinary_anchor_hits,unfinished,meta_leak,score_total,human_score,human_notes,text
steer_alpha_0p77_c19_tok140_seed02_a_plastic_folder_in_the_drawer__banded-frontier_best_s2_c1_1,picked_clean_taste_probe,steer_alpha_0p77_c19_tok140_seed02_a_plastic_folder_in_the_drawer__banded-frontier_best.json,steer_alpha_0p77__reselect_banded-frontier_best,experiments/posthoc_reselect_mundane_hard_gate/steer_alpha_0p77_c19_tok140_seed02_a_plastic_folder_in_the_drawer__banded-frontier_best.json,2,1,1,0.19818965036936784,0.4232811706986973,0.5574074074074075,1.0,0.0,0.037037037037037035,0.7054686178311622,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,1.0,the; now; and; creaks,0.0,0.0,1.0105115703659846,,,"A small, rusty key, worn and tarnished, lies on a dusty, old, and cobblestone floor, where it creaks softly as the morning dew, collecting upon it, and a small, forgotten umbrella, once a vibrant red, now a dull, mottled gray, leans against the wall, its ribs, now twisted and bent, creaking in time with the wind."
steer_alpha_0p66_c19_tok140_seed08_i_am_opening_the_fridge__banded-frontier_best_s1_c1_2,picked_clean_taste_probe,steer_alpha_0p66_c19_tok140_seed08_i_am_opening_the_fridge__banded-frontier_best.json,steer_alpha_0p66__reselect_banded-frontier_best,experiments/posthoc_reselect_mundane_hard_gate/steer_alpha_0p66_c19_tok140_seed08_i_am_opening_the_fridge__banded-frontier_best.json,1,1,1,0.18495727066606915,0.39977633780984645,0.564209598770774,1.0,0.0,0.07104799385386996,0.6662938963497441,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,1.0,the; fridge,0.0,0.0,-0.2145483063594027,,,"As I push the fridge out into the desert, the scorching sand and sun beat down on its metallic surface, and a fine layer of sand slowly accumulates on its windows, obscuing the view of the desert's vast expanse, the fridge, now a makeshift observatory, its doors slightly ajar, revealing a tiny, intricately carved wooden box."
steer_alpha_0p66_c19_tok140_seed02_a_plastic_folder_in_the_drawer__banded-frontier_best_s1_c1_3,picked_clean_taste_probe,steer_alpha_0p66_c19_tok140_seed02_a_plastic_folder_in_the_drawer__banded-frontier_best.json,steer_alpha_0p66__reselect_banded-frontier_best,experiments/posthoc_reselect_mundane_hard_gate/steer_alpha_0p66_c19_tok140_seed02_a_plastic_folder_in_the_drawer__banded-frontier_best.json,1,1,1,0.2097874971622216,0.44559791240913676,0.55,1.0,0.0,0.0,0.7426631873485613,0.19999999999999998,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,plastic; folder; the; drawer,0.0,0.0,-0.1957599732171691,,,"The plastic folder, now a makeshift birdcage, holds a small, iridescent bird with feathers made of torn and faded photographs, its eyes glued shut, as it sings a melody only the drawer's rusty hinges can hear."
steer_alpha_0p66_c19_tok140_seed07_a_delivery_label_on_a_cardboard_box__banded-frontier_best_s1_c1_4,picked_clean_taste_probe,steer_alpha_0p66_c19_tok140_seed07_a_delivery_label_on_a_cardboard_box__banded-frontier_best.json,steer_alpha_0p66__reselect_banded-frontier_best,experiments/posthoc_reselect_mundane_hard_gate/steer_alpha_0p66_c19_tok140_seed07_a_delivery_label_on_a_cardboard_box__banded-frontier_best.json,1,1,1,0.23383104905352114,0.4966674788732394,0.55,1.0,0.0,0.0,0.9371084507042253,0.05999999999999997,0.0,0.0,0.0,0.0,0.0,0.25,label,0.0,0.0,0.9355345730168485,,,"The label, now a small, crumpled up and forgotten, lies next to a vintage typewriter, its keys yellowed with age, its keys slightly ajar, as if waiting for the next sentence."
steer_alpha_0p77_c19_tok140_seed06_the_elevator_button_was_cracked__banded-frontier_best_s2_c1_5,picked_clean_taste_probe,steer_alpha_0p77_c19_tok140_seed06_the_elevator_button_was_cracked__banded-frontier_best.json,steer_alpha_0p77__reselect_banded-frontier_best,experiments/posthoc_reselect_mundane_hard_gate/steer_alpha_0p77_c19_tok140_seed06_the_elevator_button_was_cracked__banded-frontier_best.json,2,1,1,0.19298719749739116,0.42007594476744187,0.5602564102564103,1.0,0.0,0.05128205128205128,0.7001265746124031,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.5,the; its,0.0,0.0,-0.02735257684640202,,,"A rain-soaked umbrella, its metal ribs creaking and groaning, leans against a lamppost, its glass shattered, a slow trickle of water seeps from a crack, pooling into a small, forgotten puddle, where a forgotten wallet, once a crisp, new bill, now a soggy, waterlogged thing, slowly surreeps into the puddle."
steer_alpha_0p77_c19_tok140_seed05_the_spreadsheet_was_still_open__banded-frontier_best_s2_c1_6,picked_clean_taste_probe,steer_alpha_0p77_c19_tok140_seed05_the_spreadsheet_was_still_open__banded-frontier_best.json,steer_alpha_0p77__reselect_banded-frontier_best,experiments/posthoc_reselect_mundane_hard_gate/steer_alpha_0p77_c19_tok140_seed05_the_spreadsheet_was_still_open__banded-frontier_best.json,2,1,1,0.1386252593362535,0.3914642766700344,0.4318534394774444,0.7746478873239436,0.0,0.02898550724637681,0.652440461116724,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,1.0,the; spreadsheet; open; now; butterflies,0.0,0.0,1.1882102246172914,,,"A small, worn leather satchel, adorned with a brass buckle, lies open, revealing a tattered, yellowed map, creased and worn, with a faint, hand-drawn trail of a winding river, which snakes through the dew, where a lone, old, tin can, polished to a soft sheen, slowly pours a slow, golden rain, as the butterflies, now a fluttering, rainbow-hued curtain, gently covers the spreadsheet, and the clock's rhythmic ticking harmonizes with the soft, lapping of the river's gentle, silver song."
steer_alpha_0p66_c19_tok140_seed07_a_delivery_label_on_a_cardboard_box__banded-frontier_best_s2_c1_7,picked_clean_taste_probe,steer_alpha_0p66_c19_tok140_seed07_a_delivery_label_on_a_cardboard_box__banded-frontier_best.json,steer_alpha_0p66__reselect_banded-frontier_best,experiments/posthoc_reselect_mundane_hard_gate/steer_alpha_0p66_c19_tok140_seed07_a_delivery_label_on_a_cardboard_box__banded-frontier_best.json,2,1,1,0.14281266924707056,0.3911884816753927,0.4264880952380952,0.7638888888888888,0.0,0.031746031746031744,0.6519808027923212,0.19999999999999998,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,delivery; label; box; the; now; and; typewriter; its,0.0,0.0,0.816702223630444,,,"The typewriter's keys creak as it slowly rises from the floor, its metal legs unfolding like a lotus, while the delivery label, now a delicate, paper-thin flower, unfurls from the box, its inked words ""Property of a forgotten writer"" still legible, as the room, once a cluttered, dimly lit study, now fills with a soft, golden light, and a single, dusty book, bound in worn leather, opens to a page with a poem that reads, ""In a room, a room, a tiny, forgotten room""."
steer_alpha_0p88_c19_tok140_seed02_a_plastic_folder_in_the_drawer__banded-frontier_best_s2_c1_8,picked_clean_taste_probe,steer_alpha_0p88_c19_tok140_seed02_a_plastic_folder_in_the_drawer__banded-frontier_best.json,steer_alpha_0p88__reselect_banded-frontier_best,experiments/posthoc_reselect_mundane_hard_gate/steer_alpha_0p88_c19_tok140_seed02_a_plastic_folder_in_the_drawer__banded-frontier_best.json,2,1,1,0.20101510091743122,0.4457097581317765,0.55,1.0,0.0,0.0,0.7428495968862942,0.19999999999999998,0.0,0.3333333333333333,0.3333333333333333,0.0,0.4,1.0,the; drawer; now; orchid; its,0.0,0.0,1.1664644611250117,,,"The orchid's roots, now a thin, sinewy tendril, twists and curls around a miniature, golden clock, its tiny, intricate gears ticking away, casting a faint, silver sheen, as morning light, filtered through a sliver of dusty, grimy window, illumining the drawer."
steer_alpha_0p88_c19_tok140_seed02_a_plastic_folder_in_the_drawer__banded-frontier_best_s1_c1_9,picked_clean_taste_probe,steer_alpha_0p88_c19_tok140_seed02_a_plastic_folder_in_the_drawer__banded-frontier_best.json,steer_alpha_0p88__reselect_banded-frontier_best,experiments/posthoc_reselect_mundane_hard_gate/steer_alpha_0p88_c19_tok140_seed02_a_plastic_folder_in_the_drawer__banded-frontier_best.json,1,1,1,0.2393715707615561,0.5084357917620138,0.55,1.0,0.0,0.0,0.9593128146453089,0.05999999999999997,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.4,1.0,plastic; folder; the; drawer,0.0,0.0,-1.3868969488939735,,,"The plastic folder, now a miniature greenhouse, cradles a small, forgotten orchid, its petals a delicate, translucent filter, casting dappery on the drawer's worn, wooden floor."
steer_alpha_0p82_c19_tok140_seed03_the_bus_was_ten_minutes_late__banded-frontier_best_s2_c1_10,picked_clean_taste_probe,steer_alpha_0p82_c19_tok140_seed03_the_bus_was_ten_minutes_late__banded-frontier_best.json,steer_alpha_0p82__reselect_banded-frontier_best,experiments/posthoc_reselect_mundane_hard_gate/steer_alpha_0p82_c19_tok140_seed03_the_bus_was_ten_minutes_late__banded-frontier_best.json,2,1,1,0.20742816993980973,0.4078503767413732,0.5588888888888889,1.0,0.0,0.04444444444444444,0.6797506279022887,0.19999999999999998,0.0,0.3333333333333333,0.3333333333333333,0.0,0.375,0.75,the; bus; now,0.0,0.0,0.8221663436602957,,,"A small, rusty pipe, once part of a city's infrastructure, now lies in a nearby storm drain, alongside a small, forgotten typewriter, where a piece of paper, with a poem, partially unfolds, as the rain washes away the puddle of oil, and the bus, now a small, antique, slowly rotates, its wheels creaking in time with the rain."
