run_name,condition,path,step,candidate_index,picked,score_total,readable_ontology_frontier,frontier_quality,ontology_collapse_density,identity_melt_score,affordance_corruption_score,category_bleeding_score,syntax_readability_proxy,graph_integration,graph_fragmentation,repair_pressure,atmospheric_conservation,unfinished,meta_leak,identity_melt_count,affordance_corruption_count,text
steer_alpha_0p45_c12_tok140.json,steer_alpha_0p45,experiments/frontier_sweep_steered_hybrid_focus_best/steer_alpha_0p45_c12_tok140.json,1,1,1,1.080412668441107,0.0049005628037995415,0.4482222076645922,0.013333333333333334,0.0,0.0,0.06666666666666667,0.7470370127743203,0.19999999999999998,0.9100000000000001,0.0,0.0,0.0,0.0,0,0,"The umbrella, its metal ribs now bent and twisted, leans against a worn, leather-bound suitcase, as a small, antique music box, adorned with delicate ballerinas, whirs to life, releasing a soft, melancholic melody that echoes through the empty platform."
steer_alpha_0p45_c12_tok140.json,steer_alpha_0p45,experiments/frontier_sweep_steered_hybrid_focus_best/steer_alpha_0p45_c12_tok140.json,1,2,0,1.0558888291131174,0.003317964231683423,0.37967741935483873,0.010657199078080496,0.0,0.0,0.05328599539040248,0.6327956989247312,0.19999999999999998,0.9100000000000001,0.0,0.0,0.0,0.0,0,0,"The umbrella, now empty and worn, leans against a metal railing, its metal ribs weathered to a soft gray, as a young woman, carrying a worn leather satchel, pauses beside it, running her fingers over the intricate carvings on the railing, the rain that had been threatening to pour down all morning suddenly begins to fall, and the woman is startled, her eyes fixed on the umbrella, as if it might suddenly come to life and shelter her."
steer_alpha_0p45_c12_tok140.json,steer_alpha_0p45,experiments/frontier_sweep_steered_hybrid_focus_best/steer_alpha_0p45_c12_tok140.json,1,3,0,0.6351442642173148,0.0,0.37496472868217057,0.0,0.0,0.0,0.0,0.7074806201550388,0.05999999999999997,0.9730000000000001,0.0,0.3333333333333333,0.0,0.0,0,0,"It was leaning against the wall, partially hidden by a trash can, its worn wooden handle slightly askew, the metal ribs of its metal canopy slowly rusting, a small, forgotten gardenia blooming beside it, its delicate petals unfolding like a small, white wing."
steer_alpha_0p45_c12_tok140.json,steer_alpha_0p45,experiments/frontier_sweep_steered_hybrid_focus_best/steer_alpha_0p45_c12_tok140.json,1,4,0,0.5231211484689813,0.0,0.4171892229417206,0.0,0.0,0.0,0.0,0.6953153715695344,0.19999999999999998,0.9100000000000001,0.0,0.0,0.0,0.0,0,0,"The umbrella's wooden handle, worn smooth by countless fingers, leans against a discarded backpack, its zippers and straps tangled with a discarded ticket stub and a crumpled piece of paper with a handwritten address, while a nearby fruit cart, overflowing with wilted apples and bananas, seems to be slowly sinking into the damp soil."
steer_alpha_0p45_c12_tok140.json,steer_alpha_0p45,experiments/frontier_sweep_steered_hybrid_focus_best/steer_alpha_0p45_c12_tok140.json,1,5,0,-0.19535539344824904,0.16644826555328912,0.36906489036206014,0.55,1.0,0.0,0.0,0.7381297807241203,0.0,1.0,0.0,0.0,0.0,0.0,1,0,"The umbrella, now a makeshift shelter for a family of pigeons, its faded purple fabric billowing like a tiny, tattered parachute, as a young girl, her eyes shining with wonder, gently strokes the soft, grey feathers that now shelter her two small children."
steer_alpha_0p45_c12_tok140.json,steer_alpha_0p45,experiments/frontier_sweep_steered_hybrid_focus_best/steer_alpha_0p45_c12_tok140.json,1,6,0,0.16355975163805847,0.01755795031366811,0.4431775072674418,0.04353662037838322,0.0,0.0,0.2176831018919161,0.7386291787790698,0.19999999999999998,0.9100000000000001,0.0,0.5,0.0,0.0,0,0,"The old man, with a tattered fedora clutched in one hand, stands beside the forgotten umbrella, its metal ribs tangled with a discarded ticket stub and a crumpled receipt, as a stranger in a long, black coat slowly unfolds a vintage camera from its pocket and begins to snap photographs of the unlikely tableau."
steer_alpha_0p45_c12_tok140.json,steer_alpha_0p45,experiments/frontier_sweep_steered_hybrid_focus_best/steer_alpha_0p45_c12_tok140.json,1,7,0,0.2165659530255415,0.0,0.37716643302180686,0.0,0.0,0.0,0.0,0.711634779286428,0.05999999999999997,0.9730000000000001,0.0,0.0,0.0,0.0,0,0,"The umbrella, its once-vibrant colors now dull and faded, leaned against a lamppost, its metal ribs creaking in the gentle morning breeze, as a young woman, drenched from a sudden downpour, clutched a worn leather satchel that had been her grandmother's."
steer_alpha_0p45_c12_tok140.json,steer_alpha_0p45,experiments/frontier_sweep_steered_hybrid_focus_best/steer_alpha_0p45_c12_tok140.json,1,8,0,-0.07543414843414742,0.012425786229086225,0.4309521235521235,0.03333333333333333,0.0,0.0,0.16666666666666666,0.7182535392535392,0.19999999999999998,0.9100000000000001,0.0,0.25,0.0,0.0,0,0,"The forgotten umbrella, its once vibrant colors faded, stood upright like a worn soldier, its metal tip bent and twisted, a magnet attracting a small, rusty key, which then slipped into the umbrella's handle, as a gust of wind whispered secrets to its worn wooden ribs."
steer_alpha_0p45_c12_tok140.json,steer_alpha_0p45,experiments/frontier_sweep_steered_hybrid_focus_best/steer_alpha_0p45_c12_tok140.json,1,9,0,-0.10573516188749088,0.0,0.4500308285163776,0.0,0.0,0.0,0.0,0.7500513808606294,0.19999999999999998,0.9100000000000001,0.0,0.0,0.0,0.0,0,0,"The umbrella, its canvas a canvas of brown and green, leaned against a worn wooden bench, covered in a tangled mess of discarded tickets, a torn newspaper, and a faded photograph of a couple smiling on the Seine."
steer_alpha_0p45_c12_tok140.json,steer_alpha_0p45,experiments/frontier_sweep_steered_hybrid_focus_best/steer_alpha_0p45_c12_tok140.json,1,10,0,-0.2751835664335671,0.01302784615384615,0.44413111888111884,0.03333333333333333,0.0,0.0,0.16666666666666666,0.7402185314685314,0.19999999999999998,0.9100000000000001,0.0,0.3333333333333333,0.0,0.0,0,0,"The forgotten umbrella at the station stood silently, its metal frame creaking ever so slightly in the wind, as a small, antique music box, once a gift from a distant relative, sat beside it, its delicate ballerina twirling to a soft, melancholic tune."
