name,condition,path,picked_count,phenomenon_label,trajectory_score,trajectory_frontier_auc,terminal_frontier,terminal_readability,terminal_unfinished,mean_ontology_collapse_density,mean_unfinished,unfinished_rate,anchor_survival,lineage_continuity,motif_entropy,motif_repetition,stock_prop_dependence,soft_style_dependence,now_chain_pressure,inscription_pressure,repetition_collapse_penalty,peak_frontier,peak_frontier_step,post_peak_decay,suggested_stop_step,failure_pressure,seed
steer_alpha_0p66_c19_tok140_seed01_the_receipt_on_the_counter.json,steer_alpha_0p66,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p66_c19_tok140_seed01_the_receipt_on_the_counter.json,5,trajectory_truncation_failure,0.35518877056678066,0.10457558230648867,0.10841705861733772,0.6330183839396142,0.4,0.48018803418803424,0.32,0.8,0.6666666666666666,0.7833333333333333,0.9214680412050633,0.5882352941176471,0.5,0.2,0.5,0.3,0.25786514265199384,0.16043999839078635,2,0.05202293977344863,3,0.3910426960551409,The receipt on the counter
steer_alpha_0p66_c19_tok140_seed02_a_plastic_folder_in_the_drawer.json,steer_alpha_0p66,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p66_c19_tok140_seed02_a_plastic_folder_in_the_drawer.json,5,readable_ontology_collapse_trajectory,0.42983830595407313,0.15180864858969648,0.10172482841449419,0.6265387313038568,0.4,0.55,0.16,0.4,1.0,0.9,0.8894686235491586,0.71875,0.6799999999999999,0.4,0.8,0.1,0.22866594682721417,0.2097874971622216,1,0.1080626687477274,3,0.3984442707410577,A plastic folder in the drawer
steer_alpha_0p66_c19_tok140_seed03_the_bus_was_ten_minutes_late.json,steer_alpha_0p66,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p66_c19_tok140_seed03_the_bus_was_ten_minutes_late.json,5,readable_ontology_collapse_trajectory,0.44903524083471463,0.14463148039057785,0.1868016858071506,0.6903240421550281,0.0,0.44222222222222224,0.0,0.0,1.0,0.75,0.9399316205211391,0.5416666666666667,0.6799999999999999,0.4666666666666666,0.7,0.2,0.25097848442452386,0.1868016858071506,5,0.0,3,0.320542793863081,The bus was ten minutes late
steer_alpha_0p66_c19_tok140_seed04_a_blue_mug_near_the_sink.json,steer_alpha_0p66,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p66_c19_tok140_seed04_a_blue_mug_near_the_sink.json,5,readable_ontology_collapse_trajectory,0.39726972641129754,0.15199718366184098,0.09206158830492524,0.604027704950348,0.4,0.5534203296703297,0.16,0.4,0.75,0.9,0.9356305089489146,0.5862068965517242,0.74,0.6666666666666666,0.8,0.0,0.27870720960136286,0.20298067205346898,3,0.11091908374854374,4,0.38902584994569933,A blue mug near the sink
steer_alpha_0p66_c19_tok140_seed05_the_spreadsheet_was_still_open.json,steer_alpha_0p66,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p66_c19_tok140_seed05_the_spreadsheet_was_still_open.json,5,stock_prop_attractor_trajectory,0.4405447248263614,0.18570280400519013,0.18417111214470286,0.6276146738704879,0.0,0.550874183006536,0.08,0.2,1.0,0.95,0.922818811596987,0.6666666666666667,0.915,0.4666666666666666,0.8,0.4,0.28092460357545773,0.255308411994003,4,0.07113729984930015,3,0.44800369028764414,The spreadsheet was still open
steer_alpha_0p66_c19_tok140_seed06_the_elevator_button_was_cracked.json,steer_alpha_0p66,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p66_c19_tok140_seed06_the_elevator_button_was_cracked.json,5,stock_prop_attractor_trajectory,0.4261774508827777,0.15264720906891086,0.20920156821632338,0.8693529588510134,0.0,0.5331895821996824,0.16,0.4,0.75,0.85,0.8568132463340484,0.7241379310344828,0.8150000000000001,0.4,0.6,0.4,0.2705339128710498,0.20920156821632338,5,0.0,3,0.4232098974202373,The elevator button was cracked
steer_alpha_0p66_c19_tok140_seed07_a_delivery_label_on_a_cardboard_box.json,steer_alpha_0p66,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p66_c19_tok140_seed07_a_delivery_label_on_a_cardboard_box.json,5,mixed_trajectory,0.31012762692845475,0.16534500923981404,0.11188451699377955,0.6089152135241398,0.4,0.5289705882352942,0.16,0.4,0.25,0.8,0.9596290572149667,0.7586206896551724,0.73,0.4666666666666666,0.7,0.3,0.2316345194273408,0.23383104905352114,1,0.1219465320597416,4,0.42604826227139986,A delivery label on a cardboard box
steer_alpha_0p66_c19_tok140_seed08_i_am_opening_the_fridge.json,steer_alpha_0p66,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p66_c19_tok140_seed08_i_am_opening_the_fridge.json,5,stock_prop_attractor_trajectory,0.46575189054670996,0.18639334108766917,0.2329509027268281,0.8608680810304068,0.0,0.5585117794486216,0.08,0.2,1.0,0.8,0.9013046354081343,0.7755102040816326,1.0,0.6,0.8,0.2,0.31214366739624155,0.23616118468434766,1,0.003210281957519545,3,0.4382184228331147,I am opening the fridge
steer_alpha_0p72_c19_tok140_seed01_the_receipt_on_the_counter.json,steer_alpha_0p72,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p72_c19_tok140_seed01_the_receipt_on_the_counter.json,5,stock_prop_attractor_trajectory,0.29905236520195716,0.18114191245060482,0.09603793326168227,0.6384906542056076,0.4,0.5524747474747475,0.08,0.2,0.3333333333333333,0.7166666666666667,0.9501349964260154,0.7,0.925,0.4,0.7,0.7,0.35491447199655934,0.21310821573901462,1,0.11707028247733235,4,0.5009451473309806,The receipt on the counter
steer_alpha_0p72_c19_tok140_seed02_a_plastic_folder_in_the_drawer.json,steer_alpha_0p72,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p72_c19_tok140_seed02_a_plastic_folder_in_the_drawer.json,5,trajectory_truncation_failure,0.26774461467297517,0.12163476327065974,0.091739047980683,0.589552259399793,0.4,0.4998730984108347,0.24000000000000005,0.6,0.25,0.75,0.9010934373930696,0.7843137254901961,1.0,0.7333333333333333,0.6,0.0,0.3254955134054764,0.2287119667513727,2,0.1369729187706897,3,0.4535665027776088,A plastic folder in the drawer
steer_alpha_0p72_c19_tok140_seed03_the_bus_was_ten_minutes_late.json,steer_alpha_0p72,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p72_c19_tok140_seed03_the_bus_was_ten_minutes_late.json,5,stock_prop_attractor_trajectory,0.34270480072590964,0.16038021019683268,0.19171475163299126,0.6886562733597839,0.0,0.5567099567099567,0.16,0.4,0.25,0.85,0.8804166001518264,0.6363636363636364,0.79,0.4,0.8,0.0,0.1952109528705138,0.21799762490064406,1,0.0262828732676528,3,0.3733167661432041,The bus was ten minutes late
steer_alpha_0p72_c19_tok140_seed04_a_blue_mug_near_the_sink.json,steer_alpha_0p72,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p72_c19_tok140_seed04_a_blue_mug_near_the_sink.json,5,trajectory_truncation_failure,0.37478073116460253,0.12203514433214013,0.09495660829548036,0.6620968657733364,0.4,0.49704481792717087,0.24000000000000005,0.6,0.75,0.8,0.9173423989503993,0.7435897435897436,1.0,0.6666666666666666,0.5,0.0,0.21133912059847892,0.18576663641452348,2,0.09081002811904312,3,0.40802152028455707,A blue mug near the sink
steer_alpha_0p72_c19_tok140_seed05_the_spreadsheet_was_still_open.json,steer_alpha_0p72,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p72_c19_tok140_seed05_the_spreadsheet_was_still_open.json,5,trajectory_truncation_failure,0.28968119378079765,0.08931475645726483,0.09586240936188378,0.5618487365870544,0.4,0.4981435472739821,0.32,0.8,0.5,0.75,0.8851338617034061,0.7222222222222222,0.975,0.4,0.6,0.0,0.3228231078850404,0.10439618537055477,1,0.008533776008670987,3,0.4481104480428302,The spreadsheet was still open
